Condition,Remedy
viral warts,Apply over-the-counter salicylic acid treatments
hyperhidrosis,Use clinical-strength antiperspirants
stroke,Consult doctor immediately
pilonidal cyst,Soak in a warm sitz bath and keep the area clean
crushing injury,Consult doctor immediately
normal pressure hydrocephalus,Consult doctor immediately
alopecia,Avoid tight hairstyles and harsh chemicals
hashimoto thyroiditis,Consult doctor immediately
flat feet,Use over-the-counter arch supports or orthotic shoe inserts
nonalcoholic liver disease (nash),Focus on weight loss through diet and exercise
hemarthrosis,Consult doctor immediately
pelvic organ prolapse,Regularly perform Kegel exercises to strengthen muscles
fracture of the arm,Consult doctor immediately
coagulation (bleeding) disorder,Consult doctor immediately
intracranial hemorrhage,Consult doctor immediately
hyperkalemia,Consult doctor immediately
cornea infection,Consult doctor immediately
abscess of the lung,Consult doctor immediately
dengue fever,Rest and drink plenty of fluids; avoid aspirin
chronic sinusitis,Use a humidifier and perform daily saline nasal irrigation
cholesteatoma,Consult doctor immediately
volvulus,Consult doctor immediately
injury to the finger,Tape the injured finger to an adjacent healthy finger
poisoning due to analgesics,Consult doctor immediately
atrial fibrillation,Consult doctor immediately
pinworm infection,Wash all bed linens in hot water and practice hand hygiene
urethral valves,Consult doctor immediately
open wound of the neck,Consult doctor immediately
achalasia,Eat smaller more frequent meals and chew food thoroughly
conductive hearing loss,Consult doctor immediately
abdominal hernia,Avoid heavy lifting and wear a supportive truss if advised
cerebral palsy,Consult doctor immediately
marijuana abuse,Seek counseling and join a support group
cryptococcosis,Consult doctor immediately
obesity,Track caloric intake and increase daily physical activity
indigestion,Eat smaller meals and avoid lying down after eating
bursitis,Rest the joint and apply ice for 15-20 minutes
esophageal cancer,Consult doctor immediately
pulmonary congestion,Consult doctor immediately
juvenile rheumatoid arthritis,Apply warm compresses to stiff joints in the morning
actinic keratosis,Use broad-spectrum sunscreen and wear protective clothing
acute otitis media,Apply a warm washcloth to the outside of the ear for pain
astigmatism,Consult doctor immediately
tuberous sclerosis,Consult doctor immediately
empyema,Consult doctor immediately
presbyacusis,Reduce background noise during conversations
neonatal jaundice,Ensure the infant is feeding frequently
chronic obstructive pulmonary disease (copd),Avoid air pollutants and practice pursed-lip breathing
dislocation of the elbow,Consult doctor immediately
spondylosis,Practice gentle stretches and maintain ergonomic workstations
herpangina,Drink cold fluids and eat soft non-acidic foods
injury to the shoulder,Rest the arm in a sling and apply ice
poisoning due to antidepressants,Consult doctor immediately
infection of open wound,Clean with soap/water and consult a doctor immediately
deep vein thrombosis (dvt),Consult doctor immediately
protein deficiency,Incorporate protein-rich foods like beans and eggs
myoclonus,Consult doctor immediately
bone spur of the calcaneous,Wear well-cushioned shoes and use heel inserts
von willebrand disease,Consult doctor immediately
open wound of the back,Keep the wound clean and dry
heart block,Consult doctor immediately
colonic polyp,Consult doctor immediately
magnesium deficiency,Eat more magnesium-rich foods like spinach and almonds
female infertility of unknown cause,Track ovulation cycles and maintain a healthy weight
pericarditis,Consult doctor immediately
attention deficit hyperactivity disorder (adhd),Use planners timers and structured daily routines
pulmonic valve disease,Consult doctor immediately
tietze syndrome,Rest and avoid activities that strain the chest wall
cranial nerve palsy,Consult doctor immediately
injury to the arm,Immobilize with a sling and apply ice
conversion disorder,Consult doctor immediately
complex regional pain syndrome,Consult doctor immediately
otosclerosis,Consult doctor immediately
injury to the trunk,Rest and use ice packs for local pain management
hypothyroidism,Consult doctor immediately
primary insomnia,Maintain a consistent sleep schedule and avoid caffeine
lice,Use a fine-toothed nit comb and medicated shampoo
vitamin b12 deficiency,Eat B12-rich foods like eggs dairy or fortified cereals
diabetes,Monitor blood sugar levels regularly and follow a healthy diet
vulvodynia,Wear loose cotton clothing and avoid scented soaps
endometriosis,Use a heating pad on the pelvis to relieve pain
vasculitis,Consult doctor immediately
concussion,Ensure total physical and cognitive rest (no screens)
oral leukoplakia,Stop using tobacco products and consult a dentist
chronic kidney disease,Limit sodium and protein intake as directed
bladder disorder,Avoid bladder irritants like caffeine and alcohol
chorioretinitis,Consult doctor immediately
priapism,Consult doctor immediately
myositis,Rest the affected muscles and use warm baths
mononucleosis,Get plenty of bed rest and stay hydrated
neuralgia,Apply warm or cold compresses to the painful area
polycystic kidney disease,Consult doctor immediately
bipolar disorder,Consult doctor immediately
amyloidosis,Consult doctor immediately
chronic inflammatory demyelinating polyneuropathy (cidp),Consult doctor immediately
gastroesophageal reflux disease (gerd),Avoid eating 3 hours before bed and elevate head of bed
vitreous hemorrhage,Consult doctor immediately
poisoning due to antimicrobial drugs,Consult doctor immediately
open wound of the mouth,Rinse with warm salt water to keep it clean
scleroderma,Protect skin from cold and use thick moisturizers
myasthenia gravis,Consult doctor immediately
hypoglycemia,Consume 15 grams of fast-acting carbs (like juice) immediately
idiopathic absence of menstruation,Consult doctor immediately
dislocation of the ankle,Consult doctor immediately
carbon monoxide poisoning,Consult doctor immediately
panic attack,Focus on grounding exercises (5-4-3-2-1 technique)
plantar fasciitis,Stretch the calves and arches before getting out of bed
hyperopia,Consult doctor immediately
poisoning due to sedatives,Consult doctor immediately
pemphigus,Consult doctor immediately
peyronie disease,Consult doctor immediately
hiatal hernia,Eat smaller meals and avoid lifting heavy objects
extrapyramidal effect of drugs,Consult doctor immediately
meniere disease,Follow a low-salt diet to reduce fluid retention
anal fissure,Increase fiber intake and take warm sitz baths
allergy,Avoid known allergens and use over-the-counter antihistamines
chronic otitis media,Keep the ear dry during bathing
fracture of the finger,Consult doctor immediately
hirschsprung disease,Consult doctor immediately
polymyalgia rheumatica,Consult doctor immediately
lymphedema,Wear compression garments and perform gentle exercises
bladder cancer,Consult doctor immediately
acute bronchospasm,Consult doctor immediately
acute glaucoma,Consult doctor immediately
open wound of the chest,Consult doctor immediately
dislocation of the patella,Consult doctor immediately
sciatica,Apply heat packs and perform gentle hamstring stretches
hypercalcemia,Increase water intake to help kidneys flush calcium
stress incontinence,Perform Kegel exercises daily to strengthen the floor
varicose veins,Wear compression stockings and elevate legs
benign kidney cyst,Consult doctor immediately
hydrocele of the testicle,Consult doctor immediately
degenerative disc disease,Use a firm mattress and practice core exercises
hirsutism,Manage with shaving or over-the-counter hair removal creams
dislocation of the foot,Consult doctor immediately
hydronephrosis,Consult doctor immediately
diverticulosis,Eat a high-fiber diet and drink plenty of water
pain after an operation,Follow prescribed meds and use ice/heat as directed
huntington disease,Consult doctor immediately
lymphoma,Consult doctor immediately
dermatitis due to sun exposure,Apply cool compresses and aloe vera gel
anemia due to chronic kidney disease,Consult doctor immediately
injury to internal organ,Consult doctor immediately
scleritis,Consult doctor immediately
pterygium,Use lubricating eye drops and wear sunglasses outdoors
fungal infection of the skin,Apply over-the-counter antifungal cream
insulin overdose,Consume fast-acting sugar and seek emergency help
syndrome of inappropriate secretion of adh (siadh),Consult doctor immediately
foreign body in the ear,Do not use a Q-tip; tilt head or see a doctor
premenstrual tension syndrome,Reduce salt and caffeine; exercise regularly
orbital cellulitis,Consult doctor immediately
injury to the leg,Apply RICE (Rest Ice Compression Elevation)
hepatic encephalopathy,Consult doctor immediately
bone cancer,Consult doctor immediately
syringomyelia,Consult doctor immediately
pulmonary fibrosis,Consult doctor immediately
mitral valve disease,Consult doctor immediately
parkinson disease,Engage in regular physical therapy and balance exercises
gout,Drink plenty of water and avoid high-purine foods like red meat
otitis media,Apply a warm compress to the ear for pain relief
drug abuse (opioids),Seek immediate professional treatment and counseling
myelodysplastic syndrome,Consult doctor immediately
fracture of the shoulder,Consult doctor immediately
acute kidney injury,Consult doctor immediately
threatened pregnancy,Consult doctor immediately
intracranial abscess,Consult doctor immediately
gum disease,Brush twice daily floss and use antiseptic mouthwash
open wound from surgical incision,Follow specific surgeon instructions for dressings
gastrointestinal hemorrhage,Consult doctor immediately
seborrheic dermatitis,Use over-the-counter dandruff shampoo with zinc
drug abuse (methamphetamine),Seek immediate professional help and detoxification
torticollis,Apply gentle heat and perform slow neck-stretching
poisoning due to antihypertensives,Consult doctor immediately
tension headache,Massage neck and temples and practice stress reduction
alcohol intoxication,Consult doctor immediately if severe; otherwise rest
scurvy,Increase intake of Vitamin C through citrus fruits
narcolepsy,Maintain a strict sleep schedule and take short naps
food allergy,Strictly avoid the allergen and carry an EpiPen if prescribed
labyrinthitis,Rest in a quiet dark room to manage dizziness
anxiety,Practice rhythmic breathing and regular physical exercise
impulse control disorder,Consult doctor immediately
stenosis of the tear duct,Apply warm compresses and massage the duct area
abscess of nose,Consult doctor immediately
omphalitis,Consult doctor immediately
leukemia,Consult doctor immediately
bell palsy,Use artificial tears and an eye patch to protect the eye
conjunctivitis due to allergy,Use cool compresses and antihistamine drops
drug reaction,Stop suspected meds and consult a doctor immediately
adrenal cancer,Consult doctor immediately
myopia,Consult doctor immediately
osteoarthritis,Maintain a healthy weight and do low-impact exercises
thyroid disease,Consult doctor immediately
pharyngitis,Gargle with warm salt water and drink warm liquids
chronic rheumatic fever,Consult doctor immediately
hypocalcemia,Consume calcium-rich foods like dairy and kale
macular degeneration,Quit smoking and eat leafy green vegetables
pneumonia,Consult doctor immediately
cold sore,Apply over-the-counter docosanol (Abreva) immediately
premature ventricular contractions (pvcs),Reduce caffeine and manage stress levels
testicular cancer,Consult doctor immediately
hydrocephalus,Consult doctor immediately
breast cancer,Consult doctor immediately
anemia due to malignancy,Consult doctor immediately
esophageal varices,Consult doctor immediately
endometrial cancer,Consult doctor immediately
cystic fibrosis,Consult doctor immediately
intertrigo (skin condition),Keep skin folds clean dry and apply barrier cream
parathyroid adenoma,Consult doctor immediately
glucocorticoid deficiency,Consult doctor immediately
temporomandibular joint disorder,Avoid chewing gum and apply heat to the jaw
wilson disease,Consult doctor immediately
vesicoureteral reflux,Consult doctor immediately
vitamin a deficiency,Eat more carrots sweet potatoes and spinach
gonorrhea,Consult doctor immediately
fracture of the rib,Take shallow breaths and use a pillow for support
ependymoma,Consult doctor immediately
hepatitis due to a toxin,Stop exposure and consult a doctor immediately
vaginal cyst,Soak in a warm sitz bath; see doctor if it hurts
open wound of the shoulder,Clean thoroughly and apply a sterile bandage
ectopic pregnancy,Consult doctor immediately
chronic knee pain,Strengthen the quadriceps and wear supportive footwear
pinguecula,Use over-the-counter lubricating eye drops
hypergammaglobulinemia,Consult doctor immediately
alcohol abuse,Join a support group like Alcoholics Anonymous
carpal tunnel syndrome,Wear a wrist splint at night and take typing breaks
pituitary disorder,Consult doctor immediately
kidney stone,Drink a high volume of water to help pass the stone
autism,Implement structured routines and specialized support
cat scratch disease,Wash all cat scratches immediately with soap and water
chronic glaucoma,Consult doctor immediately
retinal detachment,Consult doctor immediately
aplastic anemia,Consult doctor immediately
overflow incontinence,Schedule regular times to urinate (timed voiding)
hemolytic anemia,Consult doctor immediately
lateral epicondylitis (tennis elbow),Use a forearm brace and apply ice
open wound of the eye,Consult doctor immediately
syphilis,Consult doctor immediately
diabetic kidney disease,Strictly control blood sugar and blood pressure
nose disorder,Use a saline spray to keep nasal passages moist
drug withdrawal,Consult doctor immediately for safe detoxification
dental caries,Brush with fluoride toothpaste and limit sugary snacks
hypercholesterolemia,Increase fiber intake and exercise regularly
fracture of the patella,Consult doctor immediately
kidney failure,Consult doctor immediately
fracture of the neck,Consult doctor immediately
muscle spasm,Gently stretch the muscle and apply heat
hemophilia,Consult doctor immediately
hyperosmotic hyperketotic state,Consult doctor immediately
peritonsillar abscess,Consult doctor immediately
gastroparesis,Eat small frequent low-fiber meals
itching of unknown cause,Apply fragrance-free moisturizer and avoid hot showers
polycythemia vera,Consult doctor immediately
thrombocytopenia,Avoid activities that cause bruising or bleeding
head and neck cancer,Consult doctor immediately
pseudohypoparathyroidism,Consult doctor immediately
goiter,Consult doctor immediately
urge incontinence,Practice bladder training by gradually increasing intervals
edward syndrome,Consult doctor immediately
open wound of the arm,Clean with water and apply pressure to stop bleeding
muscular dystrophy,Consult doctor immediately
mittelschmerz,Apply a heating pad to the lower abdomen for pain
corneal abrasion,Do not rub the eye; keep it closed and see a doctor
anemia of chronic disease,Consult doctor immediately
dysthymic disorder,Maintain regular exercise and a consistent routine
scarlet fever,Consult doctor immediately
hypertensive heart disease,Reduce sodium intake and monitor blood pressure
drug abuse (barbiturates),Consult doctor immediately
polycystic ovarian syndrome (pcos),Manage symptoms through exercise and low-sugar diet
encephalitis,Consult doctor immediately
cyst of the eyelid,Apply a warm compress for 10-15 minutes several times daily
balanitis,Keep the area clean and dry; avoid harsh soaps
foreign body in the throat,Consult doctor immediately
drug abuse (cocaine),Seek professional rehabilitation and counseling
optic neuritis,Consult doctor immediately
alcohol withdrawal,Consult doctor immediately
premature atrial contractions (pacs),Limit intake of caffeine nicotine and alcohol
hemiplegia,Consult doctor immediately
hammer toe,Wear shoes with a deep toe box and use toe pads
open wound of the cheek,Clean with soap and water; see a doctor if deep
joint effusion,Rest and elevate the affected joint
open wound of the knee,Clean apply antibiotic ointment and bandage
meningioma,Consult doctor immediately
brain cancer,Consult doctor immediately
placental abruption,Consult doctor immediately
seasonal allergies (hay fever),Keep windows closed and use an air purifier
lung cancer,Consult doctor immediately
primary kidney disease,Consult doctor immediately
uterine cancer,Consult doctor immediately
dry eye of unknown cause,Use over-the-counter artificial tears regularly
fibrocystic breast disease,Wear a supportive bra and reduce caffeine
fungal infection of the hair,Consult doctor immediately
tooth abscess,Rinse with salt water and see a dentist immediately
envenomation from bite,Wash the area and consult a doctor immediately
vacterl syndrome,Consult doctor immediately
vertebrobasilar insufficiency,Consult doctor immediately
rectal disorder,Increase dietary fiber and use sitz baths
atonic bladder,Consult doctor immediately
benign paroxysmal positional vertical (bppv),Perform the Epley maneuver as directed
blepharospasm,Manage stress and ensure adequate sleep
sarcoidosis,Consult doctor immediately
metastatic cancer,Consult doctor immediately
trigger finger (finger disorder),Rest the finger and use a splint at night
stye,Apply a warm compress to the eyelid for 10 minutes
hemochromatosis,Consult doctor immediately
osteochondroma,Consult doctor immediately
cushing syndrome,Consult doctor immediately
typhoid fever,Consult doctor immediately
vitreous degeneration,Consult doctor immediately
atrophic skin condition,Use gentle fragrance-free moisturizers
aspergillosis,Consult doctor immediately
uterine atony,Consult doctor immediately
trichinosis,Consult doctor immediately
whooping cough,Consult doctor immediately
open wound of the lip,Apply cold pressure to stop bleeding and keep clean
subacute thyroiditis,Consult doctor immediately
oral mucosal lesion,Rinse with a mixture of water and baking soda
open wound due to trauma,Clean the wound and consult doctor for tetanus shot
intracerebral hemorrhage,Consult doctor immediately
alzheimer disease,Use memory aids like labels calendars and checklists
vaginismus,Practice pelvic floor exercises and use dilators
systemic lupus erythematosis (sle),Protect skin from UV light and rest
premature ovarian failure,Consult doctor immediately
thoracic outlet syndrome,Practice posture exercises and physical therapy
ganglion cyst,Do not attempt to pop it; see doctor if painful
dislocation of the knee,Consult doctor immediately
crohn disease,Identify and avoid personal trigger foods
postoperative infection,Consult doctor immediately
folate deficiency,Eat more leafy greens beans and fortified grains
fluid overload,Consult doctor immediately
atrial flutter,Consult doctor immediately
skin disorder,Use mild soap and keep skin moisturized
floaters,Consult doctor immediately
tooth disorder,Practice meticulous brushing and flossing daily
heart attack,Consult doctor immediately
open wound of the abdomen,Consult doctor immediately
fracture of the leg,Consult doctor immediately
oral thrush (yeast infection),Eat unsweetened yogurt and practice hygiene
pityriasis rosea,Use lukewarm baths and calamine lotion for itching
allergy to animals,Use HEPA filters and keep pets out of the bedroom
orthostatic hypotension,Stand up slowly and stay well-hydrated
obstructive sleep apnea (osa),Sleep on your side and maintain a healthy weight
hypokalemia,Eat potassium-rich foods like bananas and potatoes
psoriasis,Use moisturizing creams and take lukewarm baths
dislocation of the shoulder,Consult doctor immediately
intussusception,Consult doctor immediately
cervicitis,Consult doctor immediately
abscess of the pharynx,Consult doctor immediately
primary thrombocythemia,Consult doctor immediately
arthritis of the hip,Use a cane for support and do water aerobics
decubitus ulcer,Change positions every 2 hours to relieve pressure
hypernatremia,Consult doctor immediately
sensorineural hearing loss,Consult doctor immediately
chronic ulcer,Keep the wound clean and follow a dressing schedule
osteoporosis,Perform weight-bearing exercises and ensure calcium intake
ileus,Consult doctor immediately
sickle cell crisis,Stay hydrated and use warm compresses for pain
urethritis,Consult doctor immediately
prostatitis,Consult doctor immediately
otitis externa (swimmer's ear),Use over-the-counter drying drops after swimming
poisoning due to anticonvulsants,Consult doctor immediately
testicular torsion,Consult doctor immediately
tricuspid valve disease,Consult doctor immediately
urethral stricture,Consult doctor immediately
vitamin d deficiency,Get 15 minutes of safe sun exposure daily
hydatidiform mole,Consult doctor immediately
pain disorder affecting the neck,Use a supportive pillow and practice neck retractions
tuberculosis,Consult doctor immediately
pelvic fistula,Consult doctor immediately
acute bronchiolitis,Use a cool-mist humidifier and ensure hydration
presbyopia,Use over-the-counter reading glasses
dementia,Maintain a consistent daily routine and use memory cues
insect bite,Apply hydrocortisone cream and a cold pack
paroxysmal ventricular tachycardia,Consult doctor immediately
congenital heart defect,Consult doctor immediately
connective tissue disorder,Consult doctor immediately
foreign body in the eye,Rinse with clean water or saline; do not rub
poisoning due to gas,Consult doctor immediately
pyogenic skin infection,Consult doctor immediately
endometrial hyperplasia,Consult doctor immediately
acanthosis nigricans,Manage weight through diet and exercise
central atherosclerosis,Consult doctor immediately
viral exanthem,Use lukewarm baths and stay hydrated
noninfectious gastroenteritis,Stick to the BRAT diet (Bananas Rice Applesauce Toast)
benign prostatic hyperplasia (bph),Avoid caffeine and alcohol before bedtime
menopause,Layer clothing for hot flashes and relax
primary immunodeficiency,Consult doctor immediately
ovarian cancer,Consult doctor immediately
cataract,Consult doctor immediately
dislocation of the hip,Consult doctor immediately
spinal stenosis,Practice core-strengthening exercises
intestinal obstruction,Consult doctor immediately
heart contusion,Consult doctor immediately
congenital malformation syndrome,Consult doctor immediately
sporotrichosis,Consult doctor immediately
lymphangitis,Consult doctor immediately
wernicke korsakoff syndrome,Consult doctor immediately
intestinal disease,Follow a bland diet and stay hydrated
acute bronchitis,Drink plenty of fluids and use a humidifier
persistent vomiting of unknown cause,Consult doctor immediately
open wound of the foot,Clean apply antiseptic and wear clean socks
myocarditis,Consult doctor immediately
preeclampsia,Consult doctor immediately
ischemic heart disease,Eat a low-fat high-fiber diet and walk daily
neurofibromatosis,Consult doctor immediately
chickenpox,Apply calamine lotion and take oatmeal baths
pancreatic cancer,Consult doctor immediately
neuropathy due to drugs,Consult doctor immediately
croup,Sit with the child in a steamy bathroom for 10 minutes
idiopathic excessive menstruation,Consult doctor immediately
amblyopia,Consult doctor immediately
meckel diverticulum,Consult doctor immediately
dislocation of the wrist,Consult doctor immediately
ear drum damage,Keep the ear dry and avoid inserting anything
erectile dysfunction,Reduce stress stop smoking and exercise regularly
temporary or benign blood in urine,Consult doctor immediately
kidney disease due to hypertension,Strictly monitor and manage blood pressure
chondromalacia of the patella,Strengthen the quadriceps and avoid deep squats
onychomycosis,Keep feet dry and use antifungal nail pens
urethral disorder,Consult doctor immediately
lyme disease,Consult doctor immediately
iron deficiency anemia,Eat iron-rich foods like red meat and spinach
acute respiratory distress syndrome (ards),Consult doctor immediately
toxic multinodular goiter,Consult doctor immediately
open wound of the finger,Clean with water and apply a bandage
autonomic nervous system disorder,Consult doctor immediately
psychosexual disorder,Consult doctor immediately
anemia,Increase intake of iron and B12 through diet
tendinitis,Rest the tendon and apply ice for 20 minutes
common cold,Get plenty of rest and drink warm fluids with honey
amyotrophic lateral sclerosis (als),Consult doctor immediately
central retinal artery or vein occlusion,Consult doctor immediately
paroxysmal supraventricular tachycardia,Practice the Valsalva maneuver
venous insufficiency,Elevate legs and wear compression stockings
trichomonas infection,Consult doctor immediately
acne,Wash face twice daily with a mild cleanser
depression,Maintain a regular sleep/exercise schedule and talk to someone
drug abuse,Seek professional help and rehabilitation
urinary tract obstruction,Consult doctor immediately
diabetes insipidus,Consult doctor immediately
iridocyclitis,Consult doctor immediately
varicocele of the testicles,Wear supportive underwear (jockstrap)
irritable bowel syndrome,Identify food triggers and manage stress
fracture of the foot,Consult doctor immediately
ovarian cyst,Apply a heating pad to the lower abdomen
chlamydia,Consult doctor immediately
parasitic disease,Consult doctor immediately
fracture of the jaw,Consult doctor immediately
lipoma,Monitor for changes; see a doctor if it is painful
female genitalia infection,Consult doctor immediately
pulmonary hypertension,Consult doctor immediately
thyroid nodule,Consult doctor immediately
broken tooth,Rinse with warm water and see a dentist immediately
dumping syndrome,Eat smaller frequent meals and avoid liquids with meals
lymphadenitis,Consult doctor immediately
injury to the face,Apply ice to reduce swelling
aortic valve disease,Consult doctor immediately
rheumatoid arthritis,Use warm paraffin wax for stiff hands
spermatocele,Consult doctor immediately
impetigo,Consult doctor immediately for antibiotics
anal fistula,Consult doctor immediately
hypothermia,Wrap in warm blankets and give warm liquids
oppositional disorder,Consult doctor immediately
migraine,Rest in a dark quiet room at the onset
diabetic peripheral neuropathy,Inspect feet daily for cuts
testicular disorder,Consult doctor immediately
gestational diabetes,Follow a strict meal plan and monitor sugar
hidradenitis suppurativa,Apply warm compresses and wear loose clothing
valley fever,Get plenty of rest and stay hydrated
conjunctivitis due to bacteria,Consult doctor immediately for antibiotic drops
lewy body dementia,Consult doctor immediately
multiple myeloma,Consult doctor immediately
head injury,Monitor for 24 hours for confusion; see doctor if severe
ascending cholangitis,Consult doctor immediately
idiopathic irregular menstrual cycle,Maintain weight and track cycles
interstitial lung disease,Consult doctor immediately
mononeuritis,Consult doctor immediately
malaria,Consult doctor immediately
somatization disorder,Consult doctor immediately
hypovolemia,Drink oral rehydration fluids and see a doctor
schizophrenia,Consult doctor immediately
knee ligament or meniscus tear,Consult doctor immediately
endocarditis,Consult doctor immediately
sepsis,Consult doctor immediately
heat stroke,Consult doctor immediately; move to shade and cool skin
cholecystitis,Consult doctor immediately
cardiac arrest,Consult doctor immediately (Call 911 and perform CPR)
cardiomyopathy,Consult doctor immediately
social phobia,Practice small social interactions and deep breathing
meningitis,Consult doctor immediately
spherocytosis,Consult doctor immediately
hormone disorder,Consult doctor immediately
raynaud disease,Wear warm gloves and avoid sudden temp changes
reactive arthritis,Rest the joint and use cold packs for swelling
scabies,Consult doctor immediately; wash all bedding in hot water
ear wax impaction,Use a few drops of mineral oil to soften wax
hypertension of pregnancy,Consult doctor immediately
peripheral arterial embolism,Consult doctor immediately
rosacea,Avoid triggers like spicy foods and use gentle sunscreen
fracture of the skull,Consult doctor immediately
uveitis,Consult doctor immediately
fracture of the facial bones,Consult doctor immediately
tracheitis,Consult doctor immediately
jaw disorder,Eat soft foods and use a warm compress
perirectal infection,Consult doctor immediately
breast cyst,Wear a supportive bra and see a doctor
post-traumatic stress disorder (ptsd),Consult doctor immediately
kidney cancer,Consult doctor immediately
vulvar cancer,Consult doctor immediately
blepharitis,Clean eyelids daily with diluted baby shampoo solution
celiac disease,Strictly follow a 100% gluten-free diet
cystitis,Drink plenty of water and urinate frequently
sickle cell anemia,Avoid extreme temperatures and stay hydrated
subconjunctival hemorrhage,No treatment needed; will resolve like a bruise
hemorrhoids,Eat a high-fiber diet and take warm sitz baths
contact dermatitis,Wash the area and apply hydrocortisone
sinus bradycardia,Consult doctor immediately if dizzy
high blood pressure,Reduce salt intake and walk daily
pelvic inflammatory disease,Consult doctor immediately
liver disease,Avoid alcohol and limit processed foods
chronic constipation,Increase fiber and water intake; exercise regularly
thyroid cancer,Consult doctor immediately
flu,Rest stay hydrated and use acetaminophen for fever
friedrich ataxia,Consult doctor immediately
tic (movement) disorder,Manage stress and ensure adequate sleep
skin polyp,Consult doctor immediately
brachial neuritis,Consult doctor immediately
cervical cancer,Consult doctor immediately
adrenal adenoma,Consult doctor immediately
esophagitis,Avoid spicy foods and don't lie down after eating
gas gangrene,Consult doctor immediately
yeast infection,Use over-the-counter antifungal creams
spina bifida,Consult doctor immediately
drug poisoning due to medication,Consult doctor immediately
alcoholic liver disease,Stop all alcohol consumption immediately
malignant hypertension,Consult doctor immediately
diverticulitis,Consult doctor immediately for antibiotics
moyamoya disease,Consult doctor immediately
heat exhaustion,Move to a cool place and drink water
psychotic disorder,Consult doctor immediately
frostbite,Gradually rewarm in warm water; see doctor
atrophy of the corpus cavernosum,Consult doctor immediately
smoking or tobacco addiction,Use nicotine patches or gum and seek support
sprain or strain,Apply RICE (Rest Ice Compression Elevation)
essential tremor,Reduce caffeine and stress
open wound of the ear,Clean gently and see a doctor
foreign body in the nose,Gently blow your nose; do not use tweezers
idiopathic painful menstruation,Use a heating pad and take NSAIDs
down syndrome,Consult doctor immediately
idiopathic infrequent menstruation,Maintain a healthy weight and track cycles
